Date,Age,Life Event,
1972-1976,21-25,"Proposes to Susan a second time. However, she turns him down again and claims that he needs to have a stable job.",
January 1976,25,"Kenneth moves to Los Angeles and first lives with Angelo Buono (his adoptive cousin). Buono begins to introduce Bianchi to the world of perverse sex.",
1976,25,"Obtains a job with the California Land Title Company.",
1976,25,"His mother sends him money to buy a car with which he buys a 1972 Cadillac.",
1976,25,"Applies with the Los Angeles Police Reserves",
1976,25,"Sleeps with one of Angelo’s son’s girlfriends",
July 1976,25,"Moves out of Angelo’s home and into his own apartment on East Garfield Avenue. Shortly thereafter he moves in with Kelli Boyd who he had met at work",
1977,26,"Applies to Glendale Police Department but is rejected",
1977,26,"Applies to Los Angeles Police Department but there are no openings",
1977,26,"After purchasing phony psychology degrees and credentials, Kenneth rents office space from a legitimate psychologist. Very few people see Kenneth for help.",
1977,26,"Begins using the false excuse that he has cancer so that he can skip work, which he does quite often.",
1977,26,"Is fired from his job after marijuana is found in his desk",
May 1977,26,"Kelli becomes pregnant by Kenneth. He proposes to her but she turns him down. However, she continues to stay with him.",
September 1977,26,"Angelo and Kenneth discuss the idea of getting young girls to work for them as prostitutes. It is Angelo’s idea as a way for them to get money (as they are short on cash). They purchase a list of names of men who frequent prostitutes from Deborah Noble. Unbeknownst to Angelo and Kenneth, Deborah delivers a 'trick list' and deceives them.",
October 1977,26,"Deborah Noble and her friend Yolanda Washington deliver the list of men to Angelo. Yolanda is 19 years-old, a part-time waitress and a prostitute. Yolanda tells Angelo that she usually works a particular stretch on Sunset Boulevard. Angelo and Kenneth soon find out that the list is a fake and seek out to get revenge for the money they paid.",
"October 17, 1977",26,"Angelo and Kenneth begin their rampage. They seek out Yolanda Washington, rape and strangle her in the back seat of Kenneth’s car.",
"October 18, 1977",26,"Washington’s body is found near Universal City in a cemetery. She still has the fabric around her neck that was used to strangle her.",
"October 31, 1977",26,"Victim Two-Judith Miller, a 15 years-old runaway and prostitute.",
"November 1, 1977",26,"Miller’s body is found with ligature marks on her ankles, wrists, and neck. She has also been raped.",
"November 5, 1977",26,"Victim Three-Elissa Kastin, a 21 years-old waitress.",
"November 6, 1977",26,"Kastin’s nude body is found on a highway embankment. She is found with ligature marks similar to those found on Judith Miller. She has also been raped and sodomized.",
"November 9, 1977",26,"Victim Four-Jane King, a 28 year–old aspiring actress.",
"November 13, 1977",26,"Victims Five and Six- Sonja Johnson age 14 and Dolly Cepeda age 12.",
"November 20, 1977",26,"A nine year-old boy finds the bodies of Sonja Johnson and Dolly Cepeda in Highland Park. They too are found nude with ligature marks and had been raped.",
"November 20, 1977",26,"Victim Seven- Kristina Weckler, a 20 year-old college student. She is found the same day with ligature marks on the inner arm and  on her neck.",
"November 23, 1977",26,"Jane King’s body is found near Los Feliz off-ramp on the Golden State Freeway. She has been sodomized and strangled. (sources on the condition of King’s body coincide. Some say she had been raped, while others report that the body was so badly deteriorated that rape could not be definitively determined)",
"November 28, 1977",26,"Victim Eight-Lauren Wagner, an 18 year-old student.",
"November 29, 1977",26,"Lauren Wagner’s body is found nude, strangled, and with electrical burns on her palms. She also has ligature marks on her body and had been raped.",
"December 13, 1977",26,"Victim Nine - Kimberly Martin, an 18 year-old call girl who went by the name of Donna*.  Her body is found the same day in a vacant lot on a hillside. *(some sources report Martin’s name as Kimberly Diane Martin, while others say she went by “Donna”)",
"February 17, 1978",26,"Victim Ten-Cindy Hudspeth, a 20 year-old college student. Her body is found in the trunk of her car which had been pushed over a cliff. She is also found nude, raped, and with ligature marks on her body. This is the last murder that Angelo and Kenneth participate in together, and Angelo’s final murder before being arrested and ultimately sent to prison.",
1978,27,"Kenneth moves to Bellingham, Washington to be with Kelli and their son Ryan. He obtains a job as a security guard for a hardware store.* Kenneth applies with the Whatcom County Sheriffs Reserve and accepts a position there.  This would be his last known place of employment.* (the actual dates of Bianchi’s move to Washington, and his dates of employment in Washington are not known)",
"January 12, 1979",27,"Police in Bellingham, Washington are notified that two young women from Western Washington University, Karen Mandic and Diane Wilder, are missing. The police later find out that Kenneth Bianchi had offered the girls $100 to housesit for him.",
January 1979,27,"Police are led to an abandoned car in a heavily wooded area. Inside the car they discover the bodies of Mandic and Wilder. Both women have been strangled and their bodies contain multiple bruises. Upon identifying Bianchi as a suspect in the murders, they search his home. The search produces jewelry that matches the descriptions of that worn by Kimberly Martin and Yolanda Washington. Police are now able to identify Bianchi as one of the Hillside Stranglers.",
June 1980,29,"Bianchi receives a pen-pal letter from Veronica Lynn Compton, 23. She asks him for his opinion on her play about a female serial killer.",
September 1980,29,"Compton and Bianchi continue to correspond with each other. Compton suggests a defense strategy for Bianchi. She would travel to Bellingham and kill a woman and place his semen at the scene since he is a non-secretor. This would “show” that the strangler is still on the loose.",
"September 16, 1980",29,"Compton visits Bianchi in prison. While visiting she receives his semen in a rubber glove that is hidden in a book. She then flies to Bellingham, Washington and picks out a female victim, but ruins the murder attempt.",
"October 3, 1980",29,"Compton is arrested in California, and convicted in 1981 in Washington.",
"October 4, 1980",29,"Bianchi writes a 'letter to the world', stating that he is innocent and that Angelo Buono is the true killer.",
"July 6, 1981",30,"In order to convince the court that his testimony was unreliable, Bianchi testifies that he might have faked the multiple personality disorder, but he could not be sure if he was telling the truth when he stated earlier that Buono was involved in the murders. Now he does not even think that he committed the murders either.",
"July 31, 1981",30,"Prosecutor files a petition to dismiss the case against Buono due to Ken’s irrationality and conflicting testimony.",
"August 1, 1981",30,"Judge Ronald George dismisses the petition.",
"November 3, 1981",30,"Judge Ronald George delivers his judgment: 'My judgment was that Bianchi faked both the hypnosis and the multiple personality, and I came to that conclusion based on the circumstantial evidence acquired by the police, the contradictory testimony of Bianchi with regard to his mental status and the opinions voiced by the psychiatrists who examined him.'",
"October 21, 1983",32,"Bianchi receives his sentence (life in prison with the possibility for parole).",
