04/19/1979,22,"While the breaking and entering case was still happening Brian was charged with having a 14-year-old girl who had run away living in his house, and also charged with another Aurora burglary.",,
,,Served 3 years in jail,,
07/13/1982,26,Paroled,,
1982,26,"Released from Menard Correctional Center, later broke parole and went to Joliet Center",,
07/23/1982,26,"Attacked woman in Aurora, woman got away.",
,,Charges dropped when brother was an alibi,,
02/25/1983,,"Just six months after being released from Joliet Correctional Center Dugan allegedly abducted, raped, and murdered 10-year-old Jeanine Nicarico",,
Late Spring 1984,27,Dugan was released from Jail on a recognizance bond that was related with another felony burglary charge,,
07/15/1984,27,"Dugan sideswiped 27-yr-old Donna Schnorr (a nurse). Forced her car off the road, tied her up, raped her, and then murdered her.",,
05/06/1985,,"Brian Dugan abducts, rapes, and lets a 21 year old female go",,
05/28/1985,,"He attempts to kidnap a 19 year old female but she gets away, she saw his license plate and reported it to authorities, but authorities did not check on the call until later.",,
05/29/1985,,"Dugan kidnaps and rapes a 16-year-old girl, He gives her his name the girl is too frightened to report the incident until some time has passed and by then she can only recall his first name and last initial.",,
,,"Kidnapped 7-year-old Melissa Ackerman, raped her and suffocated her by drowning her. He then tried to get her friend who had been with her at the time, but she escaped.",,
06/03/1985,,Dugan was arrested,,
Nov 1985,,"Pleaded guilty to the murders of 7-year-old Samonauk girl Melissa Ackerman, and 27-year-old nurse from Kane County, Donna Schnorr.",,
11/19/1985,,Brian Dugan was sentenced to two life sentences plus 215 years,,
Nov 1985,,Dugan’s lawyers offered a hypothetical confession to the murder of Jeanine Nicarico on behalf of Dugan if he did not receive death penalty. Due to misstatements of Dugan regarding the events that took place that day the Judge denied the offer,,
11/25/1985,,Begins serving his sentence at the Pontiac (IL) Correctional Facility.,,
07/30/1987,,Brian Dugan is stabbed 30 times while in the Pontiac Correctional Facility.,,
09/04/1987,,"When Dugan took the stand he for a second time, he refused to testify for the murder of Jeanine Nicarico without being promised immunity by the court",,
Jan 1995,,After two other men had been convicted and sentenced to death row for the,,
,,,,
,,"murder of Jeanine Nicarico, DNA excluded them from the murder, however it did not exclude Brain Dugan and was reported that only 3 in 10,000 men (one of which was Dugan) possess that DNA","murder of Jeanine Nicarico, DNA excluded them from the murder, however it did not exclude Brain Dugan and was reported that only 3 in 10,000 men (one of which was Dugan) possess that DNA","murder of Jeanine Nicarico, DNA excluded them from the murder, however it did not exclude Brain Dugan and was reported that only 3 in 10,000 men (one of which was Dugan) possess that DNA"
11/15/2002,,Authorities in DuPage County disclose new DNA information that is more accurate than the tests before that match Dugan to the rape and murder of Jeanine Nicarico .,Authorities in DuPage County disclose new DNA information that is more accurate than the tests before that match Dugan to the rape and murder of Jeanine Nicarico .,Authorities in DuPage County disclose new DNA information that is more accurate than the tests before that match Dugan to the rape and murder of Jeanine Nicarico .
Jan. 2005,47,Dugan was charged with the murder of Jeanine Nicarico,Dugan was charged with the murder of Jeanine Nicarico,Dugan was charged with the murder of Jeanine Nicarico
Jan 2008,,The trial for the murder of Jeanine Nicarcio was pushed back till march,The trial for the murder of Jeanine Nicarcio was pushed back till march,The trial for the murder of Jeanine Nicarcio was pushed back till march
March 2008,,Case could be pushed back as late as next fall,Case could be pushed back as late as next fall,Case could be pushed back as late as next fall
11/18/2008,50,Brian Dugan’s trial for the murder of Jeanine Nicarico is still pending…,Brian Dugan’s trial for the murder of Jeanine Nicarico is still pending…,Brian Dugan’s trial for the murder of Jeanine Nicarico is still pending…
,,,,
