Date,Age,Life Event,
"Nov. 6, 1992",28,"Honorable discharge from Navy. He received the Navy Achievement Medal for leadership, Navy Good Conduct Medal, two Coast Guard Meritorious Unit Ribbons, a Sea Service Deployment Ribbon and a National Defense Service Medal.",
"Jan. 1993",28,"Evontiz moved to Spotsylvania, Va. He worked in Fredericksburg, Va. as a salesperson at Kaeser Compressors. Women at work avoided him because of his tasteless jokes. He was reported to only talk about women in degrading ways and to have had anger management issues while employed with the company.",
"Feb. 12, 1993",28,"Marc had a letter published in the Fredericksburg Free-Lance Star with the headline reading, “Bigotry Against Gay’s Betrays Nation’s Ideals.”",
"June 1995",31,"He broke into the house of 2 sisters, ages 11 & 13. He brought blue fuzzy handcuffs and a .25 semi-automatic handgun. He locked the 11 year old in the bathroom while he raped the 13 year old. He was never a suspect for this case.",
"August 1996",32,"Bonnie left him because she felt lonely and unloved. She was having an online affair and moved to California with the man she was having the affair with.",
"September 9, 1996",32,"Sofia Silvia, age 16, disappeared. Evonitz had told his work he had a dentist appointment and he left around noon. Sofia disappeared from her front porch while doing homework. There were no signs of struggle.",
"Oct. 16,1996",32,"In King George County maintenance manager Gary Norman spotted a blue bundle wrapped in rope floating in Birchwood Creek. It was later found to be Sofia Silva’s body.",
"May 1, 1997",32,"Evonitz called in sick at work so he could appear in bankruptcy court. After court he went to the Lisk family home in Spotsylvania. He had been stalking Kristen Lisk, age 15, and Kati Lisk, age 12, and would abduct both of them from their front yard after the school bus dropped them off.",
"May 6, 1997",32,"A book bag was found in the South Anna River that led to finding the bodies of Kati and Kristen Lisk. Forensic evidence consisting of the fibers of a carpet linked the two cases (Silva and Lisk) together.",
1998,34,"Divorce for reasons of irreconcilable differences was filed after eight years of marriage to Bonnie Lou Gower.",
1999,35,"Evonitz and his girlfriend Faith (whose real name has been protected) moved in with his sister Kristen in Columbia, South Carolina.",
"June 24, 2002",37,"Evonitz went to rape and kill a victim that he had been stalking for several weeks but she saved her fate by altering her routine that day. He moved on and found Kara, age 15 of Lexington, South Carolina. He solicited magazines to Kara in order to get her closer to his car. Once close enough to the car, he forced her, at gunpoint, into a green plastic storage container in the trunk of his car, and took her to his apartment. His wife and her mother were vacationing at Disney World at the time. He tied Kara up, raped her, and forced her to watch the evening news about her kidnapping. After watching the evening news he tied her to a homemade wooden apparatus to spread her eagle. For the next few hours he forced her to watch pornography from his extensive child collection. He would pause the tape from time to time to rape her again.",
"June 25, 2002",37,"After following Evonitz’s demands diligently throughout the night Kara earned his trust to the point of him falling asleep. Kara escaped from Evonitz's bedroom while he was sleeping early that morning. Kara immediately went to the police, and led them to Evonitz’s apartment, but he was already on the run to Florida",
"June 27, 2002",37,"He stayed in a motel for 2 days in Jacksonville, Florida. He called his sister, Jennifer, to meet him at IHOP and she instead called the police and turned him in. When Evonitz showed up and saw the police he fled in his vehicle doing speeds of 120 mph, with no lights on, going the wrong way in traffic. When finally cornered by the police on Bayfront Drive in Sarasota, Florida, he committed suicide in his car by shooting himself in the head, with the same .25 semi-automatic handgun he had used to abduct the girls.",
"June 28-30, 2002",37,"A few days after Evonitz’s suicide the police found a lockbox at his residence that linked him to the 3 Virginia murders. The lockbox was found to contain personal items of Sophia Silva and the Lisk sisters. Forensic evidence such as Kati Lisk’s handprint on the roof of his trunk, and fibers from his blue fuzzy handcuffs and the carpet of his home were found on the girl’s bodies that linked him with the murders, as well.",
