Date,Age,Life Event,
August 1974,36,Moved from San Diego to Las Vegas to begin a new life after many infidelities.,
Unknown Date,36,Found job transporting coins from a local airport to the nearby casinos; the temptation was too much and he stole an entire shipment of coins; fled to Wyoming leaving Diana back in Vegas.,
August 1975,37,Met Myrlene “Teepee” Hamer; after a night of partying she suggested sex; he strangled her and left her on a hillside covered by an old sleeping bag.,
08-09-1975,37,Myrlene’s body was found; he fled the state the next day.,
Unknown Date,37,Went to detoxification center; stole a fellow patient’s $1500 check and cashed it.,
June 1976,38,Charged with mail theft and jumped bail; was captured a short time later with the charge of unlawful flight.,
February 1977,38,Sentenced to 1 year in prison.,
05-14-1977,39,"Police recovered the body Kathleen Blum (WF, 26), a prostitute he had strangled and dumped in a stranger’s backyard.",
07-19-1977,39,Jailed for car theft in Vegas; he made bail then made his way to Oklahoma City.,
"Night before 
Thanksgiving, 1977",39,Met a woman at a topless bar and agreed to spend the night with her; woke to find the woman dead in his bathtub and remnants of her feet and arm in his refrigerator; her buttock was found in a skillet on the stove; the body was collected and dumped into the city dump (so he claims).,
03-08-1978,39,Received a 6 month sentence plus 3 years probation.,
06-16-1978,40,Freed from jail he reunited with Diana.,
10-25-1978,40,Arrested for being drunk and also charged with a probation violation; released on $2000 bond.,
11-08-1978,40,Arrested on unknown charges that were never reported to his probation officer.,
08-27-1979,41,"Met and strangled Bonnie Sue O’Neil (WF, 39) after a night of sex when she mentioned that she had to call her husband; he dumped her body into a garbage can in the back of the building.",
09-19-1979,41,"Strangled Diana Cole (WF, 35); wrapped her in blankets and stuffed her into a closet; a neighbor called the police 8 days later after she had spotted him digging a grave in his crawlspace; her death was later ruled as alcohol poisoning.",
Unknown Date,41,Returned to Vegas and found work as a truck driver for a religious charity.,
11-03-1979,41,"Killed Marie Cushman WF, 50) in the Kasbah Hotel and left her body in the room for the maid to find.",
12-16-1979,41,Married a female coworker; while on their honeymoon they were pulled over and he was found to not have a valid drivers license so after a name check a warrant was pulled up for parole violations; he ended up in the Medical Canter for Federal prisoners.,
10-04-1980,42,Released and bussed to Dallas.,
January 1984,45,Informed of mother’s death.,
02-15-1984,45,Nevada formally announced the intent to extradite him and tri him on capital murder charges.,
03-30-1984,45,Waived extradition.,
04-09-1984,45,Sent to Las Vegas.,
08-16-1984,46,Appeared before Judge Myron Leavitt and plead guilty to 2 counts of first degree murder.,
10-12-1984,46,His penalty hearing convened before three judges and the panel sentenced him to death.,
11-6-1984,46,Transferred from Las Vegas to Nevada’s State Prison.,
12-6-1985,47,Cole was executed by lethal injection.,
,,,
