Date,Age,Life Event,
7/19/1984,48,"Anna Lemesheva, 19, a prostitute, he stabbed her and cut out her uterus and threw it into the nearby bushes.",
8/1984,48,"August 1, 1984: Chikatilo becomes head of a department at a plant making heavy industrial machinery. August 2, 1984: Natasha Golosovskaya, 16, Chikatilo murdered her by throwing himself on her, ripping off her clothes, and cutting her with a knife. August 5, 1984: Lyuda Alekseyeva, 17, murdered in a particularly grisly way. He planted the knife at points in her body where it would not kill her so he could see her suffer, but eventually died. He covered her body and left. August 8-15, 1984: Two women are murdered. The first was never identified and her head was never found. The second, Akmaral Seidalieva, 12, had run away from home and was stabbed to death. August 18, 1984: Sasha Chepel, 11, found so badly mutilated that his father passed out when he saw his son. Sasha’s eyes had been gouged out.",
9/1984,48,"September 6, 1984: Irina Luchinskaya, 24, Chikatilo punched her hard and drew his knife from the bag and stabbed her to death. September 8, 1984: Sveta Tsana, 22, was found murdered in Aviators’ Park by being brutally stabbed.",
10/8/1984,48,"Yuri Velikanov, the head of the criminal department of the Russian Public Prosecutor’s Office, signed the necessary order to link all of  the cases and dropped murder charges against the existing suspects.",
12/12/1984,48,"Chikalito appeared in the People’s Court of the Leninsk Region of the city of Shakhti charged with theft. He was found guilty and given a sentence of one year of corrective labor. Little did they know that at this time he had already killed 31 people.",
Early 1985,49,"Natalia Pokhlistova, 18, a mentally subnormal girl who was homeless. Chikalito stabbed her 38 times before strangling her to death.",
8/27/1985,49,"Irina Gulyayeva, 18, a mentally subnormal girl who had no friends and no place to stay. Chikatilo killed her and left her naked body about 500 yards from the bus stop he found her at.",
7/29/1987,51,"Ivan Bilovetski, 12, a smart outgoing little boy with a bright future. He was found mutilated and his stomach was ripped open and mud was stuffed in his mouth so that he would not cry out.",
4/6/1988,52,"Police found the body of an unknown woman who appeared to have been slaughtered two to five days earlier.",
5/14/1988,52,"Voronko, 9, found cut up and stabbed to death.",
7/14/1988,52,"Zhenya Muratov, 15, found brutality stabbed and left under a pile of leaves.",
1/11/1989,53,"Tatyana Ryzhova, Chikalito took her to his daughter’s house that she no longer lived in and pushed her down on the floor and tried to have sex with her. She began mocking him for not being able to get an erection, so he pulled out a folding knife and stabbed her in the mouth. After her had died, he cut off her head and legs and cut her into pieces and carried her on a sled to some near by woods and left her.",
5/11/1989,53,"Sasha Dyakonov, was murdered the day after his 8th birthday. He was stabbed to death and was left in the bushes – 20 yards from the road.",
Summer 1989,53,"Chikatilo killed four more times that summer, three of which were little boys.",
1989,53,"Lyosha Moiseyev, 10, was murdered by Chikatilo and not found for 66 days.",
8/1989,53,"Yelena Varga, 19, found murdered in some abandon woods. August 29, 1989: Alyosha Khobotov, 10, Chikatilo hit him over the head, but off his tongue and cut off his sexual organs. He then threw his body in a put and covered it with dirt.",
1/14/1990,54,"Kravchenko, 11, found stabbed to death and his genitals were cut off.",
3/7/1990,54,"Yaroslav Makarov, 10, Chikatilo jumped on the boy and began to assault him by an attempt to have oral sex with the boy. In ended in an orgy of hacking and stabbing and Chikatilo cut off the tip of the boys tongue and genitals. Both were tossed into the gardens.",
4/4/1990,54,"Lyubov Zuyeva, a mentally retarded woman whom Chikatilo had met on the train. He murdered her in the woods and she was not found until her body was almost completely decomposed.",
7/1990,54,"Vitya Petrov, 13, Chikatilo killed the boy once he got him to a deserted spot.",
8/14/1990,54,"Ivan Fomin, 11, was found slaughtered on a river beach – he had forty five different knife wounds.",
10/17/1990,55,"Vadim Gromov, 16, mentally handicapped from birth, he was persuaded to follow Chikatilo into the woods and then Chikatilo pinned him and began to sexually molest him. He tied the boys hands and bit off the tip of the boys tongue and began to strike him in the head and stomach with his knife. After he had died, Chikatilo cut off his genitals and tossed them away into the undergrowth.",
11/03/1990,55,"Vitya Tishchenko, 16, was persuaded to leave a train station with Chikatilo and then found stabbed to death only a short distance from the station, this is the one time that he wasn’t being patrolled/watched.",
11/13/1990,55,"Svetlana Korostik, 22, Officers found the naked remains of a young blond woman half buried under a pile of leaves. She was horribly mutilated and had multiple knife wounds to the vital organs, including stabbing of the stomach and amputation of the genitals and tongue.",
11/29/1990,55,"Chikatilo admitted for the first time to authorities that he had killed.,Chikatilo admitted for the first time to authorities that he had killed.",
1/18/1991,55,"Chikatilo described the various methods he had used to pick up his victims.",
Summer 1991,55,"Investigators had almost completed their case against Chikatilo. They believed that they had a clear and conclusive case of 53 killings.",
8/1991,55,"Chikatilo was taken to experts at Moscow’s Serbsky psychiatric institute to undergo a detailed analysis of whether of not he was insane. The doctors’ final conclusion was clear and unequivocal. If sanity is the ability to be in control of one’s own actions, then Chikatilo was undoubtedly sane.",
4/14/1992,56,"Chikatilo’s trial began.",
10/15/1992,56,"Chikatilo was found guilty of 52 counts of murder (the day before his birthday).",
2/14/1994,58,"Chikatilo dies by firing squad; gunshot to the back of the head.",
