Date,Year,Age,Life Event,Life Event
,1947-1951,"41-
45","Ed began making nocturnal visits to as many as 40 cemeteries, frequently leaving without any offense, but on at least 9 
occasions Ed dug up the coffins of newly-buried middle-age women. He had scouted these women out in the obituaries. He would take what he wanted then recover the violated graves. 
Besides masturbation, Ed denies ever having has a sexual 
experience in his life and stated that he never had sex with the cadavers because “they smelled too bad.” His cravings and compulsions still fall under the category of necrophilia. An increase in missing persons in the area began at this time as well, stumping police.",
,1951,45,"Ed visited a bar owned by Mary Hogan. She was a middle-aged woman that looked much like Ed’s mother, but had a foul mouth and a trashy history. Ed was transfixed by her because of the resemblance to his mother as well as the glaring difference between the two.",
August 26,1951,45,"Ed dug up Eleanor Adams, a 51 year old woman who had been buried earlier that day.",
November 1,1952,46,"Victor “Bunk” Travis, age 42, and friend, Ray Burgess, 
disappeared with the car after spending several hours at a local",
,,,,
,,,"bar in Plainfield. No trace of them or their car was ever found. While kidnapping men was out of character for Ed Gein, police still suspect he had some role in their disappearance.",
October 24,1953,47,"Evelyn Hartley, age 15, is abducted while baby-sitting for family friends. Her father found signs of struggle, including her broken eyeglasses, blood stains, and footprints. Her panties and bra were found two miles southeast of La Crosse and four miles further, bloody pair of man’s pants was found. Her body was never found. It is thought that Ed was responsible.",
December 8,1954,48,"Plainfield tavern owner, Mary Hogan, with whom Ed has earlier been transfixed, disappeared from her establishment. Police suspected foul play because of blood on the floor next to an empty bullet shell casing. Ed later revealed that he had been hanging out with her, drinking a bit. He pulled the blinds, put a .22 caliber gun to her forehead and shot her.",
December 9,1954,48,"The day after the murder, while working with Elmo Ueeck, he admitted to killing her and said he had hung her up at his house. Elmo dismissed Ed’s statement, not believing him.",
November 15,1957,51,Ed inquired from Mrs. Worden and her son about the price of antifreeze.,
November 16,1957,51,"Owner of the local International Harvest Products shop and mother of Deputy Frank Worden, Bernice Worden, 58, 
disappeared from her store. Sheriff Schley and Deputy Worden found the cash register gone, blood on the floor, and a .22 caliber rifle that was out of place on it’s rack upon arrival at the store. They also found a receipt for antifreeze made out to Eddie Gein, the last sale of the day.",
November 17,1957,51,"Sheriff Schley and Deputy Worden entered Ed Gein’s house through the shed/ summer kitchen. Bernice Worden’s headless corpse was found hanging upside down with her ankles lashed to a wooden cross beam. She was split open from vagina to 
sternum, field dressed like a deer. In addition, the police found human skulls affixed to the posts of Ed’s bed, a box of organs, furniture made out of bone and skin, and masks. The masks were the skin portion of the head that had been stripped away from the skull and preserved. Also found was a belt with breasts hanging from it and an entire “suit” made of pieced together skin of women, complete with a vest with breasts attached.",
November 18,1957,51,"After remaining silent at first, Ed confessed to Killing Mary Hogan and Bernice Worden. An autopsy report reveals that Mrs. Worden died of a single gunshot wound to the back of the head.",
November 19,1957,51,The search of the 195 acre farm property began and lasted over a week.,
November 21,1957,51,Lie detector test results were released to the press. Ed was also responsible for the disappearance of E,
,,,,
November 22,1957,51,"Ed was taken before a judge, technically being charged with robbery. The murder charge was held back in order to determine his sanity.",
November 23,1957,51,The psychologist and psychiatrist who interview Ed asserted that he was schizophrenic and a “sexual psychopath.”,
November 24,1957,51,Graves the Ed supposedly robbed were opened. The grave of Mrs. Adams was found empty.,
November 29,1957,51,Deputies found more bones buried in trench on Ed’s farm. One skull had a gold tooth and was believed to be the skull of a man.,
December 9,1957,51,Ed complained of memory deficits during an interview with Dr. E.F. Schubert at the Central State hospital.,
December 12,1957,51,Ed was interviewed by Dr. E.F. Schubert. Schubert found that Ed had an “abnormally magnified attachment to his mother.”,
December 17,1957,51,The judge received a packet from Central State Hospital stating that Ed was insane and should be permanently committed to the hospital.,
January 6,1958,52,Ed’s sanity hearing. Declared legally insane he was recommitted to Central State Hospital indefinitely.,
March 20,1958,52,"Ed’s farm and personal property were scheduled for auction on March 30, but was destroyed in a fire during the early morning hours.",
January 22,1968,62,"After spending ten years in the institution, Ed was determined competent to stand trial and proceeding began. It took 9 months to pass the preliminary matters such as suppressing evidence, filing for briefs, and appointment of counsel.",
November 7,1968,62,The actual trial started and last one week.,
November 14,1968,62,"Ed was found guilty of first degree murder for the shooting of Bernice Worden, but the court also found that on the day of the shooting Ed was not sane. Therefore, the court concluded the Ed was not guilty be reason of insanity. Ed was returned to Central State Hospital.",
February,1974,68,Ed filed a petition with the Waushara County Clerk of Courts claiming that he had now recovered his mental health and was fully competent and there was no reason why he should remain in any hospital.,
June 27,1974,68,A judge reviewed Ed’s petition and ordered a reexamination. The judge rejected Ed’s petition and he was returned to the hospital.,
,1978,72,Ed was moved to Mendota Mental Institute in Madison.,
July 26,1984,78,"Ed was senile and after a long bout with cancer, he died of respiratory failure in the geriatric ward at Mendota. He was considered by many at the hospital to be a model patient, mild mannered, and always helpful.",
July 27,1984,78,"At 6 A.M., with only four attendants, Ed was laid to rest next to his mother at the Plainfield Cemetery.",
,,,,
