Date,Age,Life Event
04/77,30,"Transferred to Garfield County jail in Colorado to stand trial for the murder of Ms. Campbell",
6/7/77,30,"Escapes from the Pitkin County Law Library in Colorado while preparing for his upcoming trial in the Campbell murder.",
6/13/77,30,"Is apprehended in Aspen, Colorado",
12/30/77,31,"Escapes from Garfield County Jail in Colorado and flees to Tallahassee, Florida",
1/14/78,32,"Attacks several women at the Chi Omega sorority house in Tallahassee, killing Lisa Levy and Margaret Bowman. Also attacks Cheryl Thomas.",
2/9/78,32,"Abducts Kimberly Ann Leach in Lake City, Florida",
2/15/78,32,"Arrested while driving a stolen VW in Pensacola, Florida",
4/12/79,33,"Leach's body is found in Suwanee St. Park in Florida.",
7/27/78,33,"Indicted for the murders of Levy and Bowman.",
7/7/79,34,"Leach and Bowman murder trial begins",
7/23/79,34,"Found guilty of the murders of Levy and Bowman.",
7/31/79,34,"Sentenced to death for the murders of Levy and Bowman",
1/7/80,35,"Trial begins for the Leach murder.",
2/6/80,35,"Found guilty of Leach murder.",
2/9/80,35,"Sentenced to death for Leach murder.",
2/9/80,35,"Exchanged vows to Carole Ann Boone (defense witness) while questioning her on the stand. Verbal promise made under oath was enough to make them legally married.",
10/82,37,"Bundy’s child from Carole Boone is born.",
7/2/86,41,"Obtains a stay of execution only fifteen minutes before he is scheduled to die",
11/18/86,41,"Obtains a stay of execution only seven hours before he is scheduled to die.",
1/17/89,44,"Final death warrant is issued",
1/24/89,44,"Executed in the electric chair at 7:16 a.m. in Starke State prison, Florida."
