Date,Age,Life Event,Life Event,,
November 1987,23,"Bernardo and Karla meet again. Paul drives to see Karla twice a week, and gives her love and attention as their relationship develops. Eventually, he starts to run every aspect of her life. He tells her what to wear, how to style her hair, what opinions to have and what to eat. He calls her fat and ugly. He learns that Karla is not a virgin and he is upset about this, although he is still very interested in her.",,,
"December 16, 1987",23,"Paul commits 3rd rape, age 15, getting off a bus, media coins the name “Scarborough Rapist”",,,
"December 23, 1987",23,"Paul commits 4th rape, age 27, stalked and attacked her with a knife",,,
1988,23,Karla’s friends find handcuffs in her bedroom; Karla reveals that Paul enjoys “playing games” in bed,,,
March 1988,23,"The Scarborough Rapist Task Force is formed by Metro Police. The rapes have stopped, except for a similar attack in May 1988 in a town nearby.",,,
,,,,,
,,"and their relationship: Never let anyone know our relationship is anything but perfect; Don't talk back to Paul; Be a perfect girlfriend for Paul; If Paul asks for a drink, bring him one quickly and happily; Remember you're stupid; Remember you're ugly; Remember you're fat; I don't know why I tell you these things because you never change.",,,
"April 18, 1988",,"Paul commits 5th rape, age 19, getting of the bus",,,
"May 30, 1988",,"Paul commits 6th rape, age 18, 10 miles from Scarborough",,,
"October 4, 1988",24,"Paul attempts 7th rape, she fought him off, stab wounds on thigh and buttock, 12 stitches",,,
"November 1, 1988",24,"Bernardo meets a girl named Anna and begins dating her while he is in Toronto, and also continues to see Karla. Paul also begins to become attracted to Karla’s younger sister Tammy. He demands that Tammy not have sex with any guy.
Paul commits 7th rape, age 18, parent’s backyard",,,
"December 27, 1988",24,"Paul attempts 8th rape, chased him off by getting neighbor’s attention",,,
"June 20, 1989",24,"Paul attempts 8th rape again, she screams for her neighbors, he flees",,,
"August 
15, 1989",24,"Paul commits 8th rape, age 22, stalked her outside her window",,,
"November 21, 1989",25,"Paul commits 9th rape, age 15, at a bus shelter",,,
"May 26, 1990",25,"Paul commits 11th rape, age 19, exiting a bus",,,
"November 20, 1990",26,"2 detectives interview Paul for 35 minutes, Paul gives them hair, saliva, and blood samples for testing, swears that he isn’t the Scarborough rapist",,,
"December 23, 1990",26,"Karla and Paul decide to rape Tammy by putting crushed pills into her drink. After she passes out from the drugs and alcohol, Paul rapes her as Karla videotapes. Tammy starts to choke on her own vomit and cannot be revived. She dies, and the paramedics suspect no foul play.",,,
"December 27, 1990",26,Tammy’s funeral takes place and Paul gets caught stroking her hair in the open casket.,,,
1991,26,"Paul and Karla move to St. Catherine's. 
Bernardo is bitten by Karla’s pet iguana and becomes very upset.  This leads to him cutting the iguana’s head off and then barbequing and eating the body parts.",,,
"April 6, 1991",26,"Paul commits 12th rape, age 14, not like the others, not at night and not stalking at a bus stop",,,
"June 7, 1991",26,"Karla  invites Jane Doe, age 15,  to girl’s night out, Paul and Karla plan to drug and rape her, drug with Helicon sleeping pills, Paul waits to hear that she is unconscious, Paul arrives and they begin raping her while taking turns videotaping",,,
"June 15-
16, 1991",26,"Leslie, age 14, late for curfew, Paul comes up to her and blindfolds her and puts her in the car, Karla tortures and rapes her while videotaping, murdered her, Karla says Paul strangled her, left body in basement until they figured out what to do next, decide to cut her body into pieces with a circular saw and dump her remainings in Lake Gibson.",,,
"June 29, 1991",26,Leslie's body is found in Lake Gibson by a man and his wife while canoeing. Paul and Karla get married.,,,
"August 
10, 1991",26,"Karla invites Jane Doe to drug and rape her again, in the midst of everything she stops breathing; Karla calls 911, then finds that she is breathing and calls 911 operator to let them know she is alright",,,
,,,,,
"April 16-19, 1992",27,"Karla and Paul abduct Kristen French, age 15, Karla asks for directions and gets out of the car with a map and Paul comes up behind her w a knife and they force her into the car, torture and rape her for three days. Bernardo rapes and sexually tortures Kristen French in his and Karla’s home. Paul orders Karla to participate and record the events.  During these three days Kristen is shown a video tape of Leslie 
Mahaffy’s rape.",,,
"April 19, 1992",27,"Kristen French is murdered by Bernardo with the use of the same electrical cord used to kill Leslie. The body is left in Karla and Bernardo’s home while the two visit Karla’s parent’s house for dinner. Later that, Paul disposes of the body in a 
dumpster in Burlington",,,
"April 30, 1992",27,Kristen French’s body is discovered,,,
"May 1, 1992",27,"Van notices the similarities between Paul and the rapist profile, and goes to the police.",,,
"May 12, 1992",27,"The police question Paul about where he was on the nights of the two kidnappings. DNA samples are taken, but he is not considered high on the list of suspects.",,,
"May 23, 1992",27,Terri Anderson’s body is found beside a road.  It is thought to be linked to the two other murders but no evidence is found to link the death to Paul and Karla.,,,
"December 22, 1992",28,Jane Doe confronts Paul and Karla about being forced to have sex with Paul,,,
"December 27, 1992",28,"Bernardo beats Karla with a flashlight, causing severe facial bruising.",,,
"January 5-6, 1993",28,"Karla’s parents find her beaten up and take her out of her house, but she goes back to get the videotapes. Paul is arrested and charged with assault, released on recognizance",,,
"February 1, 1993",28,Police find out that the DNA of the Scarborough Rapist is a match to Paul’s,,,
"February 8, 1993",28,Paul's father is convicted of sex-related charges in Scarborough.,,,
"February 9, 1993",28,Metro Toronto Police Detectives interview Karla about the possible involvement that her and Bernardo may have had with the assaults and murders.,,,
"February 17, 1993",28,Arrested at his home for the rapes and murders,,,
"February 18, 1993",28,Paul is driven back to Scarborough and charged on a number of accounts,,,
"February 19, 1993",28,"Police try to get warrants based on DNA evidence in Paul’s file, the FBI puts in key circumstances, (1) will continue his actions, (2) commits crimes near his home, (3) 2 serial rapist/murderers in the same area, (4) trophies of hair from the scenes;  limited search warrants were granted",,,
"February 21, 1993",28,Police find the videotape with Jane Doe,,,
"February 24, 1993",28,"Karla is arrested, and she agrees to testify against Paul in return for a reduced Sentence. Her trial is set for June 28.",,,
"February 25, 1993",28,Karla’s request for a divorce from Bernardo is officially granted,,,
,,,,,
"February 26, 1993",,Karla arranges for a plea bargain,,,
March 1993,,Paul's father sentenced to 9 months in jail and 3 months probation for assaulting a woman,,,
"March 2, 1993",,Karla- 2 counts manslaughter and goes through with a psychological evaluation,,,
"April 1, 1993",,"Karla is living in Brampton with her aunt and uncle Calvin and Patricia Seger, who had disclosed to the police Karla’s confession even though the police can’t use it to prosecute Paul due to hearsay rules, but they can use it as evidence to prosecute Karla for first degree murder. 
They decide that instead of charging Karla with murder, they would use it in order to push Karla into accepting a plea bargain, which means the police would have a witness in the prosecution of Paul Bernardo for first degree murder",,,
"April 30, 1993",,"Police have murder and rape search warrants that expire 
after 71 days for 57  Bayview Dr.  The police are no closer to proving that Paul Bernardo committed the murders of Leslie and Kristen than when they first started the investigation.",,,
"May 5, 1993",,"Murray Segal and George Walker meet again.  Walker knows that the Government is offering Karla a 12 year sentence plea bargain and that Karla has one week to decide to accept it or not.  If she doesn’t accept the plea bargain she will be charged with 2 counts of first degree murder, 1 count of second degree murder and other crimes. Walker decides to accept the plea bargain with Karla’s approval and later she decides to accept it also.",,,
"May 6, 1993",,"Paul’s lawyer, Ken Murray, goes to Paul’s house and removes six 8-mm 
videocassettes.  He found them hidden in the ceiling above a bathroom light fixture. Murray is not allowed to view the tapes until May 18th after Paul has been convicted of first degree murder.  The tapes Murray finds show the rapes of Tammy Homolka, Leslie Mahaffy, Kristen French and Jane Doe.",,,
"May 14, 1993",,Karla and Crown finalize the plea agreement.  Karla begins to give her induced statements to the police,,,
"May 16, 1993",,"The police show Karla a photograph from one of the videos found at 57 Bayview in which they believe the girl in the picture is Kristen French, but Karla suggests it’s her sister Tammy.  The actual person in the picture is Jane Doe whose rapes are not disclosed to the police by Karla until months later.",,,
"May 17, 1993",,"Karla takes the police to key areas of the house where they end up finding DNA evidence that proves Leslie Mahaffy and Kristen French had been in the house. The police also end up finding cement that Bernardo purchased, which is the same type he bought before but when he went to return the excess he signed his name to the receipt.",,,
"May 18, 1993",,"Paul is charged with two counts of kidnapping, two counts of unlawful confinement, two counts of aggravated sexual assault and first degree murder.  In addition he is charged with the dismemberment of Leslie Mahaffy’s body. Karla appears in court for her arraignment on two counts of manslaughter and a bail hearing.  Her bail is set at $110,000.  There are a number of conditions.  Karla must appear in court on June 7, 1993 at which time a trial date will be set.  Her parents use their house as collateral for bail and she is released.",,,
"June 28, 1993",28,Karla is sentenced to only 12 years in prison because of her plea bargain.,,,
"July 6, 1993",28,"Karla’s trial begins and she pleads guilty to two charges of manslaughter and is sentenced to 12 years in prison.  Debbie Mahaffy, the mother of Leslie, and Donna French, the mother of Kristen both read statements to the court.  When the trial is",,,
,,,,,
,,over Karla is taken to Kingston Prison for Women.,,,
"October 6, 1993",29,"Karla writes her lawyer, George Walker, telling him that she remembers vague details of the Jane Doe rapes.  Karla asked Walker to do something so the terms of her plea agreement aren’t changed when the information is disclosed.",,,
"November 2, 1993",29,Police receive the information Karla wrote to her lawyer about the Jane Doe rapes. The police re-examine the tape that they thought showed Kristen French.,,,
"February 12, 1994",29,The police interview Jane Doe about the rapes and when they inform her of them she does not recall anything about them,,,
"February 25, 1994",29,Karla’s request for a divorce from Bernardo is officially granted.,,,
"April 28, 1994",29,Tammy’s second autopsy report is released.  It concludes that the exact cause of death is unknown but that she either died from choking on her own vomit or from the poison used on her.,,,
"September 12, 1994",30,"Ken Murray quits being Bernardo’s lawyer because Paul wants to destroy the videotapes.  The problem with that is that Murray had planned on using them on Karla during the preliminary hearing in order to gain testimony that he would be able to use during the trial.  The preliminary hearing ended up being cancelled. 
When the preliminary hearing was cancelled Paul wanted to change his defense strategy from Karla being the killer to him having never met Leslie Mahaffy or Kristen French.  He also wanted to say that he had nothing to do with their deaths. The problem was that in order for this defense to work the tapes had to be destroyed. John Rosen takes over Paul’s defense.",,,
"September 22, 1994",30,John Rosen gives the police the original copies of the videotapes.,,,
"February 8, 1995",30,George Walker is advised by Murray Segal that Karla could be facing new charges of sexual assault in the Jane Doe rapes.,,,
"March 20, 1995",30,"Bernardo and Jane Doe’s lawyers meet several times.  Bernardo’s lawyer is trying to figure out if Jane has plans on pursuing charges against Karla for sexual assault. Due to Jane’s deteriorating mental state, she only wants her privacy.",,,
"April 5, 1995",30,"There is a change in Bernardo’s double-murder trial and it is moved from St. Catherine’s to Toronto, Ontario",,,
"May 
18,1995",30,"There is a second very important meeting regarding the charges of sexual assault against Karla.  The decision is made that she will not face anymore charges.  Their reasoning for this decision is that she did not disclose the information due to the fact that she was suffering from post-traumatic stress disorder amnesia.  There worry was what impact placing charges would have on her effectiveness as a witness. 
Paul’s' trial takes place. He is faced with 2 counts first degree murder, 2 counts aggravated assault, 2 counts forcible confinement, 2 counts kidnapping, 1 count performing an indignity on a human body. He pleads not guilty, claiming that the deaths were accidental, and then saying that Karla was the killer.",,,
"September 1, 1995",31,"Bernardo is found guilty.  The jury found him guilty of all charges: two counts each of kidnapping, forcible confinement, aggravated sexual assault, and first degree murder along with one count of offering an indignity to a dead human body.  His sentence was life in prison with no chance of parole for 25 years. Later he was taken to Kingston Penitentiary where he was in a tiny prison cell for 23 hours a day.",,,
"November 3, 1995",31,Paul returns back to court to face charges for the Scarborough rapes and also faces a Dangerous Offender hearing.  According to a recent federal law anyone said to be a Dangerous Offender faces an indefinite prison term.  The charges Paul faces for the Scarborough hearing include:  ten counts of sexual assault while using a weapon; two counts of choking with intent to render incapable of resistance to sexual assault; three counts of buggery; five counts of sexual assault causing bodily harm; two counts of unlawful confinement; six counts of anal intercourse; eight counts of robbery and two counts of aggravated sexual assault. Paul accepts the Dangerous,,,
,,,,,
,,Offender declaration and concedes to guilt in all the rapes in exchange that all charges against him including the role he played in the death of Tammy Homolka be stayed.,Offender declaration and concedes to guilt in all the rapes in exchange that all charges against him including the role he played in the death of Tammy Homolka be stayed.,Offender declaration and concedes to guilt in all the rapes in exchange that all charges against him including the role he played in the death of Tammy Homolka be stayed.,
"Nov, 1995",,"A book on Bernardo and Homolka, Deadly Innocence, is published by Toronto Sun reporters Scott Burnside and Alan Cairns","A book on Bernardo and Homolka, Deadly Innocence, is published by Toronto Sun reporters Scott Burnside and Alan Cairns","A book on Bernardo and Homolka, Deadly Innocence, is published by Toronto Sun reporters Scott Burnside and Alan Cairns",
"July 6, 1997",32,Karla is eligible for parole but does not apply.,Karla is eligible for parole but does not apply.,Karla is eligible for parole but does not apply.,
November 2004,40,Paul and Karla are still in Jail. Karla is up for release in the summer of 2005. Paul will be in jail for at least 16 more years.,Paul and Karla are still in Jail. Karla is up for release in the summer of 2005. Paul will be in jail for at least 16 more years.,Paul and Karla are still in Jail. Karla is up for release in the summer of 2005. Paul will be in jail for at least 16 more years.,
